#SRA,BioProject,Technology,Strain_ID,AltID
SRX556570,PRJNA245241,Illumina,B6284,
SRX556569,PRJNA245241,Illumina,B6272,
SRX556568,PRJNA245241,Illumina,B6207,
SRX556567,PRJNA245241,Illumina,B6177,
SRX556566,PRJNA245241,Illumina,B6171,
SRX556565,PRJNA245241,Illumina,B6096,
SRX556564,PRJNA245241,Illumina,B6094,
SRX556563,PRJNA245241,Illumina,B10014,
SRX556562,PRJNA245241,Illumina,B9960,
SRX556561,PRJNA245241,Illumina,B9970,2013708009
SRX556560,PRJNA245241,Illumina,B9935,
SRX556559,PRJNA245241,Illumina,B10016,
SRX556558,PRJNA245241,Illumina,B10011,2013708206
SRX556557,PRJNA245241,Illumina,B9908,2013708971
SRX556556,PRJNA245241,Illumina,B9893,2013708783
SRX556555,PRJNA245241,Illumina,B9892,2013708782
SRX556554,PRJNA245241,Illumina,B9879,2013708660
SRX556553,PRJNA245241,Illumina,B9877,2013708658
SRX556552,PRJNA245241,Illumina,B9845,
SRX556551,PRJNA245241,Illumina,B9843,2013708130
SRX556550,PRJNA245241,Illumina,B9842,
SRX556549,PRJNA245241,Illumina,B9839,
SRX556548,PRJNA245241,Illumina,B9862,
SRX556547,PRJNA245241,Illumina,B9835,
SRX556546,PRJNA245241,Illumina,B9834,
SRX556545,PRJNA245241,Illumina,B9833,
SRX556544,PRJNA245241,Illumina,B9832,
SRX556543,PRJNA245241,Illumina,B9831,
SRX556542,PRJNA245241,Illumina,B9860,2013708368
SRX556541,PRJNA245241,Illumina,B9824,2013002231
SRX556540,PRJNA245241,Illumina,B9823,2013002176
SRX556539,PRJNA245241,Illumina,B9847,2013708135
SRX556538,PRJNA245241,Illumina,B9846,2013708134
SRX556537,PRJNA245241,Illumina,B9827,
SRX556536,PRJNA245241,Illumina,B9826,2013707850
